vac_sus_dose1,vac_herd_dose_1,inf_dose_1,dead_dose_1,hosp_dose_1,icu_dose_1,vac_sus_dose_2,vac_herd_dose_2,inf_dose_2,dead_dose_2,hosp_dose_2,icu_dose_2,inf_n_vac,dead_n_vac,hosp_n_vac,icu_n_vac
0,0,0,0,0,0,4330,1657,208,0,5,3,197,2,3,4
0,0,0,0,0,0,4300,1681,21,0,0,0,17,0,0,0
0,0,0,0,0,0,4394,1634,125,0,10,0,107,0,0,1
0,0,0,0,0,0,4320,1672,74,0,2,1,50,2,1,0
0,0,0,0,0,0,4268,1689,22,0,2,1,21,0,0,0
0,0,0,0,0,0,4337,1667,54,0,1,2,53,1,0,0
0,0,0,0,0,0,4366,1670,12,0,2,0,8,0,0,0
0,0,0,0,0,0,4287,1660,141,0,4,4,148,0,2,1
0,0,0,0,0,0,4329,1674,13,0,1,2,15,0,0,0
1,0,1,1,1,0,4330,1667,335,0,11,3,278,2,6,1
0,0,0,0,0,0,4328,1672,230,0,4,3,233,1,3,3
0,0,0,0,0,0,4290,1691,121,0,3,1,88,2,3,0
0,0,0,0,0,0,4291,1695,81,0,4,2,61,1,1,1
0,0,0,0,0,0,4318,1662,75,0,6,1,83,1,2,1
1,0,1,1,1,0,4301,1650,345,0,13,6,330,3,3,2
0,0,0,0,0,0,4327,1684,99,0,3,0,93,1,0,0
0,0,0,0,0,0,4326,1667,6,0,1,0,1,0,0,0
1,0,1,1,0,0,4321,1653,435,0,9,2,433,6,8,0
0,0,0,0,0,0,4305,1676,89,0,3,0,82,0,5,0
0,0,0,0,0,0,4317,1687,59,0,2,1,40,0,1,0
0,0,0,0,0,0,4310,1664,52,0,1,0,29,1,2,0
0,0,0,0,0,0,4315,1641,110,0,3,2,114,1,1,0
0,0,0,0,0,0,4401,1645,169,0,8,2,165,4,1,0
0,0,0,0,0,0,4375,1645,322,0,4,4,297,3,5,2
1,0,1,1,0,0,4311,1690,106,0,4,4,103,2,4,0
0,0,0,0,0,0,4323,1661,13,0,2,1,11,0,1,0
0,0,0,0,0,0,4338,1649,3,0,0,0,1,0,0,0
0,0,0,0,0,0,4265,1664,83,0,2,1,80,2,1,2
1,0,1,1,0,1,4332,1655,214,0,4,4,207,1,8,1
0,0,0,0,0,0,4269,1690,59,0,1,0,66,1,1,0
0,0,0,0,0,0,4327,1694,30,0,0,1,13,1,1,0
0,0,0,0,0,0,4350,1702,204,0,5,1,205,1,2,2
1,0,1,1,0,0,4320,1660,397,1,9,4,441,2,12,2
0,0,0,0,0,0,4287,1673,11,0,2,2,8,0,0,0
0,0,0,0,0,0,4310,1669,183,0,3,1,123,2,3,0
0,0,0,0,0,0,4347,1702,312,0,6,2,349,4,4,1
1,0,1,1,0,0,4271,1699,95,0,5,2,90,2,2,1
0,0,0,0,0,0,4401,1649,183,0,2,3,182,0,2,0
1,0,1,1,0,1,4387,1620,69,0,4,0,54,1,2,0
1,0,1,1,0,0,4322,1651,81,0,1,1,84,2,1,1
0,0,0,0,0,0,4397,1654,40,0,2,2,21,0,1,1
0,0,0,0,0,0,4360,1666,114,0,6,2,85,1,0,0
1,0,1,1,0,0,4314,1644,201,0,9,6,149,1,1,2
1,0,1,1,0,0,4268,1666,194,0,6,1,186,0,2,1
0,0,0,0,0,0,4316,1703,42,0,1,0,26,0,1,0
0,0,0,0,0,0,4357,1641,286,0,9,3,247,4,3,1
1,0,1,1,0,0,4279,1662,419,0,9,4,428,5,5,6
0,0,0,0,0,0,4382,1692,7,0,1,0,1,0,0,0
1,0,1,1,0,0,4336,1677,222,0,8,2,228,1,2,2
0,0,0,0,0,0,4333,1667,14,0,0,0,12,0,0,0
1,0,1,1,1,0,4305,1668,226,0,9,2,213,2,2,4
0,0,0,0,0,0,4348,1678,52,0,2,1,57,0,0,0
0,0,0,0,0,0,4313,1686,33,0,0,2,7,0,1,0
0,0,0,0,0,0,4370,1661,165,0,2,0,194,1,4,1
1,0,1,1,0,0,4365,1633,161,0,6,4,140,3,2,0
1,0,1,1,0,0,4329,1672,174,0,10,0,157,5,5,1
1,0,1,1,0,1,4286,1686,296,0,10,6,267,4,6,4
0,0,0,0,0,0,4321,1650,101,0,2,2,108,0,1,0
0,0,0,0,0,0,4389,1655,98,0,2,1,91,0,2,2
0,0,0,0,0,0,4322,1680,276,0,8,1,261,3,5,2
0,0,0,0,0,0,4307,1668,36,0,2,0,18,0,0,0
0,0,0,0,0,0,4326,1643,176,0,3,3,153,1,1,3
0,0,0,0,0,0,4305,1672,211,0,0,4,225,0,2,0
0,0,0,0,0,0,4351,1637,235,0,4,4,208,4,7,0
1,0,1,1,0,0,4326,1662,86,0,3,1,76,1,2,1
1,0,1,1,0,0,4370,1674,289,0,7,3,295,2,3,1
0,0,0,0,0,0,4289,1664,7,0,0,0,3,0,0,0
0,0,0,0,0,0,4288,1663,115,0,1,1,136,1,1,2
0,0,0,0,0,0,4336,1668,201,0,3,2,172,0,1,1
0,0,0,0,0,0,4322,1628,29,0,2,0,42,0,0,0
0,0,0,0,0,0,4366,1698,98,0,2,0,98,0,2,0
0,0,0,0,0,0,4416,1651,131,0,3,2,105,1,1,1
0,0,0,0,0,0,4305,1678,1,0,0,0,2,0,0,0
0,0,0,0,0,0,4404,1654,84,0,2,0,72,3,3,1
0,0,0,0,0,0,4293,1652,14,0,3,3,13,0,0,0
0,0,0,0,0,0,4358,1656,47,0,1,0,64,0,0,0
0,0,0,0,0,0,4367,1663,18,0,1,2,24,3,1,0
2,0,2,2,1,0,4369,1653,368,0,9,4,333,4,3,4
1,0,1,1,1,0,4298,1701,524,0,7,4,558,5,9,3
0,0,0,0,0,0,4304,1667,21,0,0,0,10,2,0,0
0,0,0,0,0,0,4328,1677,160,0,1,1,156,0,2,2
0,0,0,0,0,0,4257,1671,4,0,0,0,3,0,0,0
0,0,0,0,0,0,4312,1662,5,0,2,0,4,0,0,0
0,0,0,0,0,0,4328,1666,157,0,6,3,119,2,1,0
2,0,2,2,1,0,4303,1665,310,0,7,1,284,4,7,1
0,0,0,0,0,0,4325,1650,69,0,1,6,57,3,0,0
0,0,0,0,0,0,4283,1658,37,0,4,1,36,0,1,1
0,0,0,0,0,0,4353,1643,42,0,0,0,36,0,2,0
2,0,2,2,0,0,4347,1654,283,0,3,2,299,4,4,1
1,0,1,1,1,0,4374,1643,297,0,6,0,296,0,2,1
0,0,0,0,0,0,4300,1707,147,0,3,2,175,1,0,2
0,0,0,0,0,0,4332,1635,22,0,1,0,9,0,1,1
