vac_sus_dose1,vac_herd_dose_1,inf_dose_1,dead_dose_1,hosp_dose_1,icu_dose_1,vac_sus_dose_2,vac_herd_dose_2,inf_dose_2,dead_dose_2,hosp_dose_2,icu_dose_2,inf_n_vac,dead_n_vac,hosp_n_vac,icu_n_vac
0,0,0,0,0,0,4891,1097,19,0,0,1,15,0,1,0
0,0,0,0,0,0,4921,1060,17,0,2,1,10,0,2,0
0,0,0,0,0,0,4945,1080,339,0,4,6,382,3,3,3
0,0,0,0,0,0,4890,1104,5,0,0,1,1,0,0,0
0,0,0,0,0,0,4833,1121,153,0,4,1,171,3,5,0
0,0,0,0,0,0,4938,1067,4,0,0,0,2,0,0,0
0,0,0,0,0,0,4976,1059,271,0,6,1,255,1,2,2
0,0,0,0,0,0,4883,1062,270,0,11,2,234,3,2,0
0,0,0,0,0,0,4897,1106,90,0,4,0,63,0,2,0
0,0,0,0,0,0,4886,1113,3,0,0,0,1,0,0,0
0,0,0,0,0,0,4890,1105,233,0,5,4,205,5,3,2
0,0,0,0,0,0,4872,1109,199,0,4,1,208,2,2,2
1,0,1,1,0,0,4908,1075,108,0,6,2,99,3,2,0
0,0,0,0,0,0,4873,1106,470,0,10,6,395,2,7,1
0,0,0,0,0,0,4873,1080,109,0,5,0,82,2,2,0
0,0,0,0,0,0,4936,1074,383,0,11,4,335,2,3,0
1,0,1,1,1,0,4889,1099,313,0,10,3,336,5,3,2
0,0,0,0,0,0,4875,1104,12,0,0,0,4,0,0,0
0,0,0,0,0,0,4903,1076,189,0,2,3,231,2,1,2
0,0,0,0,0,0,4887,1116,66,0,4,2,59,1,1,2
0,0,0,0,0,0,4869,1105,33,0,1,0,20,1,3,0
0,0,0,0,0,0,4858,1098,79,0,1,1,76,0,1,0
0,0,0,0,0,0,4938,1110,24,0,1,2,18,3,0,0
0,0,0,0,0,0,4928,1095,21,0,0,1,15,0,1,0
1,0,1,1,0,0,4853,1144,299,0,8,1,287,7,5,0
0,0,0,0,0,0,4875,1108,6,0,1,0,1,0,0,0
0,0,0,0,0,0,4893,1094,24,0,1,0,8,0,0,0
0,0,0,0,0,0,4815,1116,9,0,0,1,5,0,0,0
0,0,0,0,0,0,4911,1075,145,0,3,1,102,3,0,1
0,0,0,0,0,0,4863,1097,23,0,1,0,17,0,1,0
0,0,0,0,0,0,4945,1078,61,0,2,0,63,0,0,1
0,0,0,0,0,0,4944,1107,44,0,3,0,38,1,1,0
2,0,2,2,1,1,4892,1088,308,0,1,3,291,1,4,0
0,0,0,0,0,0,4880,1078,458,1,9,4,470,2,8,5
0,0,0,0,0,0,4895,1084,218,0,6,3,148,3,3,3
0,0,0,0,0,0,4984,1069,126,0,2,0,106,0,2,0
0,0,0,0,0,0,4865,1109,53,0,3,2,26,0,1,0
0,0,0,0,0,0,4957,1093,47,0,1,0,39,1,1,0
1,0,1,1,0,0,4912,1095,281,0,5,3,254,1,2,2
0,0,0,0,0,0,4912,1064,1,0,0,0,3,0,0,0
1,0,1,1,0,1,4976,1069,159,0,6,2,151,4,1,1
0,0,0,0,0,0,4921,1104,322,0,5,3,320,3,5,0
0,0,0,0,0,0,4866,1092,70,0,5,1,69,1,0,2
0,0,0,0,0,0,4855,1080,58,0,2,0,37,0,1,0
1,0,1,1,0,0,4932,1083,53,0,5,0,51,3,2,0
0,0,0,0,0,0,4922,1079,3,0,0,0,9,0,0,0
0,0,0,0,0,0,4854,1090,82,0,1,1,61,2,0,3
0,0,0,0,0,0,4975,1099,44,0,4,1,34,0,2,0
0,0,0,0,0,0,4906,1109,245,0,8,4,237,0,3,0
1,0,1,1,0,0,4892,1102,382,0,6,5,436,5,4,6
0,0,0,0,0,0,4909,1065,216,0,2,3,181,2,3,0
0,0,0,0,0,0,4959,1065,163,0,7,0,167,1,1,0
0,0,0,0,0,0,4907,1091,38,0,4,1,36,1,0,0
0,0,0,0,0,0,4927,1105,149,0,5,0,160,0,2,0
0,0,0,0,0,0,4927,1074,16,0,2,0,10,0,0,0
1,0,1,1,1,0,4915,1089,250,0,7,2,247,1,1,3
0,0,0,0,0,0,4892,1084,20,0,0,0,23,0,0,0
0,0,0,0,0,0,4854,1117,81,0,3,0,62,1,0,0
0,0,0,0,0,0,4955,1086,421,0,12,2,317,3,3,3
0,0,0,0,0,0,4915,1091,46,0,0,0,33,0,1,2
0,0,0,0,0,0,4863,1109,173,0,6,1,161,3,0,0
0,0,0,0,0,0,4886,1083,64,0,4,1,60,0,1,1
1,0,1,1,0,0,4887,1088,394,0,8,5,412,3,6,1
0,0,0,0,0,0,4881,1108,225,0,3,2,279,1,5,1
0,0,0,0,0,0,4900,1089,27,0,1,0,24,1,1,0
0,0,0,0,0,0,4961,1087,77,0,0,0,84,0,0,0
0,0,0,0,0,0,4863,1089,356,0,11,8,367,1,1,2
0,0,0,0,0,0,4833,1119,26,0,1,0,23,1,1,1
0,0,0,0,0,0,4905,1096,257,0,6,1,247,4,1,1
0,0,0,0,0,0,4831,1119,22,0,1,0,11,1,0,0
0,0,0,0,0,0,4954,1110,12,0,0,0,8,0,0,0
0,0,0,0,0,0,4958,1108,147,0,3,1,108,2,0,0
1,0,1,1,0,0,4873,1106,160,0,6,3,145,2,1,1
0,0,0,0,0,0,4979,1082,2,0,0,0,3,0,0,0
1,0,1,1,0,0,4844,1098,140,0,4,1,135,3,2,3
