vac_sus_dose1,vac_herd_dose_1,inf_dose_1,dead_dose_1,hosp_dose_1,icu_dose_1,vac_sus_dose_2,vac_herd_dose_2,inf_dose_2,dead_dose_2,hosp_dose_2,icu_dose_2,inf_n_vac,dead_n_vac,hosp_n_vac,icu_n_vac
0,0,0,0,0,0,4331,1657,174,0,2,3,158,0,1,1
0,0,0,0,0,0,4300,1681,57,0,2,1,53,0,0,0
0,0,0,0,0,0,4391,1634,175,0,11,1,186,3,5,1
0,0,0,0,0,0,4319,1672,98,0,2,1,74,3,2,0
0,0,0,0,0,0,4267,1689,48,0,2,2,54,1,1,0
0,0,0,0,0,0,4336,1667,32,0,1,2,36,2,0,0
0,0,0,0,0,0,4366,1670,16,0,2,0,9,0,0,0
0,0,0,0,0,0,4286,1660,93,0,5,0,74,1,1,0
0,0,0,0,0,0,4329,1674,12,0,1,2,15,0,0,0
0,0,0,0,0,0,4331,1667,219,0,9,2,186,2,6,2
0,0,0,0,0,0,4328,1672,233,0,7,2,272,0,5,2
1,0,1,1,1,0,4290,1691,76,0,2,0,48,1,0,0
0,0,0,0,0,0,4291,1695,113,0,2,2,107,1,1,0
1,0,1,1,0,1,4318,1662,102,0,2,1,61,0,1,1
0,0,0,0,0,0,4304,1650,212,0,2,2,208,1,4,0
3,0,3,3,0,0,4325,1684,80,0,5,0,77,0,1,0
0,0,0,0,0,0,4326,1667,6,0,1,0,1,0,0,0
0,0,0,0,0,0,4327,1653,110,0,1,2,112,0,1,0
0,0,0,0,0,0,4305,1676,42,0,2,0,40,0,3,1
1,0,1,1,0,1,4313,1687,303,0,6,4,314,3,5,0
0,0,0,0,0,0,4310,1664,134,0,2,0,127,1,3,1
0,0,0,0,0,0,4315,1641,78,0,4,1,83,1,0,0
0,0,0,0,0,0,4401,1645,302,0,8,1,357,4,5,3
2,0,2,2,0,0,4376,1645,291,0,13,3,320,0,1,1
0,0,0,0,0,0,4311,1690,235,1,7,5,256,3,1,3
0,0,0,0,0,0,4323,1661,88,0,2,2,162,0,5,1
0,0,0,0,0,0,4338,1649,3,0,0,0,1,0,0,0
0,0,0,0,0,0,4266,1664,32,0,1,0,16,1,0,0
0,0,0,0,0,0,4332,1655,157,0,6,2,151,2,6,1
1,0,1,1,0,1,4267,1690,61,0,1,1,59,2,4,0
1,0,1,1,1,0,4324,1694,276,0,7,4,324,4,8,1
0,0,0,0,0,0,4349,1702,209,0,4,2,191,2,2,2
0,0,0,0,0,0,4320,1660,310,0,11,2,266,4,5,2
0,0,0,0,0,0,4287,1673,11,0,2,2,8,0,0,0
0,0,0,0,0,0,4312,1669,44,0,2,1,32,0,0,0
2,0,2,2,0,0,4347,1702,392,0,17,6,316,2,6,1
0,0,0,0,0,0,4274,1699,95,0,3,4,68,0,0,0
0,0,0,0,0,0,4401,1649,75,0,2,1,50,0,1,1
0,0,0,0,0,0,4388,1620,125,0,5,2,122,1,1,0
0,0,0,0,0,0,4325,1651,71,0,2,1,74,0,1,1
0,0,0,0,0,0,4393,1654,272,0,9,3,248,5,9,1
0,0,0,0,0,0,4360,1666,116,0,6,5,133,1,2,0
1,0,1,1,1,0,4311,1644,273,0,8,5,252,4,2,6
0,0,0,0,0,0,4268,1666,196,0,5,5,207,1,3,1
0,0,0,0,0,0,4316,1703,62,0,1,0,32,0,1,0
0,0,0,0,0,0,4358,1641,211,0,7,3,203,3,3,1
2,0,2,2,1,1,4279,1662,416,0,7,1,358,3,5,1
0,0,0,0,0,0,4382,1692,7,0,1,0,0,0,0,0
1,0,1,1,1,0,4337,1677,109,0,2,2,118,0,2,2
0,0,0,0,0,0,4333,1667,44,0,0,0,41,0,0,0
0,0,0,0,0,0,4307,1668,52,0,4,1,37,1,0,4
0,0,0,0,0,0,4348,1678,153,0,5,1,134,0,0,0
0,0,0,0,0,0,4313,1686,33,0,0,2,7,0,1,0
1,0,1,1,1,0,4370,1661,302,0,6,2,281,0,4,0
0,0,0,0,0,0,4368,1633,198,0,4,0,231,0,1,2
0,0,0,0,0,0,4333,1672,70,0,5,0,45,2,4,0
1,0,1,1,0,1,4286,1686,181,0,11,5,154,4,0,1
0,0,0,0,0,0,4319,1650,112,0,2,2,129,2,2,0
0,0,0,0,0,0,4388,1655,62,0,3,1,72,1,3,0
1,0,1,1,1,0,4318,1680,438,0,8,5,447,6,5,1
0,0,0,0,0,0,4307,1668,126,0,8,0,167,0,0,0
1,0,1,1,0,0,4324,1643,289,0,8,1,270,2,2,2
0,0,0,0,0,0,4302,1672,155,0,4,1,149,3,4,1
1,0,1,1,0,0,4349,1637,318,0,12,4,298,4,4,2
1,0,1,1,0,0,4324,1662,327,0,9,3,286,3,3,3
0,0,0,0,0,0,4373,1674,74,0,1,1,77,0,1,0
0,0,0,0,0,0,4289,1664,25,0,1,0,17,0,0,0
1,0,1,1,1,0,4288,1663,185,0,5,0,200,0,3,1
1,0,1,1,1,0,4335,1668,22,0,1,0,6,0,0,1
1,0,1,1,1,0,4321,1628,53,0,1,2,35,0,0,0
1,0,1,1,1,0,4360,1698,336,0,11,4,324,6,3,0
0,0,0,0,0,0,4416,1651,59,0,2,3,59,1,0,1
1,0,1,1,1,0,4304,1678,42,0,2,0,39,0,0,1
0,0,0,0,0,0,4405,1654,73,0,3,0,89,2,3,0
0,0,0,0,0,0,4292,1652,256,0,6,10,254,2,0,0
0,0,0,0,0,0,4358,1656,85,0,2,1,69,0,1,0
0,0,0,0,0,0,4370,1663,109,0,1,2,97,0,2,1
0,0,0,0,0,0,4374,1653,209,0,6,1,167,1,3,3
2,0,2,2,0,0,4299,1701,301,0,10,1,322,2,6,3
0,0,0,0,0,0,4304,1667,21,0,0,0,10,2,0,0
0,0,0,0,0,0,4327,1677,140,0,1,1,175,1,3,1
0,0,0,0,0,0,4257,1671,4,0,0,0,3,0,0,0
0,0,0,0,0,0,4312,1662,5,0,2,0,4,0,0,0
0,0,0,0,0,0,4330,1666,118,0,2,1,110,0,0,1
0,0,0,0,0,0,4305,1665,218,0,4,2,170,4,3,1
1,0,1,1,1,0,4325,1650,232,0,8,5,207,1,3,3
2,0,2,2,0,1,4276,1658,403,0,10,6,460,5,11,6
0,0,0,0,0,0,4353,1643,95,0,0,0,54,0,1,1
1,0,1,1,0,0,4350,1654,161,0,4,1,144,2,1,0
2,0,2,2,0,0,4372,1643,233,0,5,2,204,1,2,3
