vac_sus_dose1,vac_herd_dose_1,inf_dose_1,dead_dose_1,hosp_dose_1,icu_dose_1,vac_sus_dose_2,vac_herd_dose_2,inf_dose_2,dead_dose_2,hosp_dose_2,icu_dose_2,inf_n_vac,dead_n_vac,hosp_n_vac,icu_n_vac
0,0,0,0,0,0,4891,1097,19,0,0,1,15,0,1,0
0,0,0,0,0,0,4921,1060,17,0,2,1,10,0,2,0
0,0,0,0,0,0,4947,1080,77,0,3,1,89,1,2,1
0,0,0,0,0,0,4890,1104,5,0,0,1,1,0,0,0
1,0,1,1,1,0,4833,1121,267,0,7,2,238,3,4,1
0,0,0,0,0,0,4938,1067,4,0,0,0,2,0,0,0
1,0,1,1,0,0,4976,1059,152,0,3,2,119,0,1,0
0,0,0,0,0,0,4885,1062,288,0,8,0,388,2,7,0
0,0,0,0,0,0,4897,1106,108,0,4,0,110,0,2,1
0,0,0,0,0,0,4886,1113,3,0,0,0,1,0,0,0
0,0,0,0,0,0,4893,1105,200,0,3,2,230,2,5,1
0,0,0,0,0,0,4874,1109,28,0,1,0,28,0,1,0
0,0,0,0,0,0,4912,1075,69,0,3,0,83,0,1,0
0,0,0,0,0,0,4874,1106,200,0,0,3,209,1,3,1
0,0,0,0,0,0,4874,1080,94,0,2,0,74,1,1,0
0,0,0,0,0,0,4938,1074,140,0,5,0,133,0,3,2
1,0,1,1,0,0,4893,1099,81,0,2,1,81,0,0,1
0,0,0,0,0,0,4875,1104,12,0,0,0,4,0,0,0
1,0,1,1,0,1,4903,1076,39,0,1,1,66,1,0,0
0,0,0,0,0,0,4886,1116,152,0,5,1,183,3,1,1
0,0,0,0,0,0,4869,1105,194,0,1,1,186,2,3,0
0,0,0,0,0,0,4858,1098,153,0,3,1,149,0,3,1
1,0,1,1,0,0,4938,1110,38,0,2,2,41,2,0,0
0,0,0,0,0,0,4928,1095,21,0,0,1,15,0,1,0
0,0,0,0,0,0,4859,1144,103,0,3,1,118,1,0,1
0,0,0,0,0,0,4875,1108,6,0,1,0,1,0,0,0
0,0,0,0,0,0,4892,1094,123,0,2,2,130,1,1,1
0,0,0,0,0,0,4815,1116,9,0,0,1,5,0,0,0
0,0,0,0,0,0,4913,1075,181,0,2,1,191,1,2,4
0,0,0,0,0,0,4863,1097,23,0,1,0,17,0,1,0
0,0,0,0,0,0,4945,1078,47,0,3,0,48,0,0,0
0,0,0,0,0,0,4943,1107,97,0,2,1,73,2,3,0
0,0,0,0,0,0,4895,1088,156,0,1,1,154,0,1,0
2,0,2,2,1,0,4879,1078,150,0,3,2,141,1,4,1
0,0,0,0,0,0,4893,1084,226,0,6,3,177,4,3,3
0,0,0,0,0,0,4984,1069,80,0,2,0,42,0,0,0
0,0,0,0,0,0,4865,1109,144,0,3,5,158,0,2,1
1,0,1,1,1,0,4957,1093,146,1,2,0,141,0,4,0
0,0,0,0,0,0,4913,1095,186,0,3,1,183,0,2,2
0,0,0,0,0,0,4912,1064,1,0,0,0,3,0,0,0
1,0,1,1,0,0,4979,1069,102,0,1,1,101,1,2,0
1,0,1,1,0,0,4921,1104,239,0,3,1,249,1,4,1
1,0,1,1,0,0,4864,1092,40,0,1,0,47,2,0,1
0,0,0,0,0,0,4855,1080,30,0,2,0,15,0,0,0
0,0,0,0,0,0,4936,1083,76,0,4,1,57,0,1,0
0,0,0,0,0,0,4922,1079,3,0,0,0,9,0,0,0
0,0,0,0,0,0,4855,1090,28,0,0,1,21,1,0,1
0,0,0,0,0,0,4975,1099,149,0,4,1,189,0,5,3
0,0,0,0,0,0,4905,1109,100,0,2,0,69,1,3,1
1,0,1,1,0,0,4897,1102,67,0,0,2,66,0,1,1
0,0,0,0,0,0,4910,1065,132,0,3,1,109,1,3,0
2,0,2,2,1,0,4957,1065,210,0,6,0,247,1,1,1
0,0,0,0,0,0,4908,1091,35,0,2,1,38,0,0,1
0,0,0,0,0,0,4927,1105,21,0,2,0,13,0,0,0
0,0,0,0,0,0,4927,1074,39,0,0,1,33,0,0,0
0,0,0,0,0,0,4917,1089,142,0,4,1,147,0,3,5
0,0,0,0,0,0,4892,1084,20,0,0,0,23,0,0,0
0,0,0,0,0,0,4855,1117,8,0,0,0,7,0,0,0
2,0,2,2,0,0,4954,1086,376,0,12,1,372,2,6,2
1,0,1,1,0,0,4914,1091,213,0,5,0,258,0,2,4
0,0,0,0,0,0,4863,1109,149,0,5,3,175,3,3,0
2,0,2,2,0,0,4884,1083,132,0,6,1,136,0,1,1
0,0,0,0,0,0,4888,1088,82,0,2,0,50,2,2,1
0,0,0,0,0,0,4881,1108,62,0,2,0,56,1,1,0
0,0,0,0,0,0,4900,1089,28,0,1,0,21,1,1,0
1,0,1,1,1,0,4960,1087,123,0,1,0,169,0,0,1
0,0,0,0,0,0,4863,1089,226,0,7,7,194,1,3,3
0,0,0,0,0,0,4833,1119,26,0,1,0,23,1,1,1
0,0,0,0,0,0,4906,1096,154,0,2,0,196,2,1,0
0,0,0,0,0,0,4831,1119,30,0,1,0,12,1,0,0
0,0,0,0,0,0,4954,1110,12,0,0,0,8,0,0,0
1,0,1,1,0,0,4959,1108,190,0,5,1,193,0,2,1
1,0,1,1,0,0,4874,1106,192,0,4,1,216,2,5,3
0,0,0,0,0,0,4979,1082,2,0,0,0,3,0,0,0
1,0,1,1,0,0,4844,1098,177,0,4,3,177,2,2,4
