vac_sus_dose1,vac_herd_dose_1,inf_dose_1,dead_dose_1,hosp_dose_1,icu_dose_1,vac_sus_dose_2,vac_herd_dose_2,inf_dose_2,dead_dose_2,hosp_dose_2,icu_dose_2,inf_n_vac,dead_n_vac,hosp_n_vac,icu_n_vac
0,0,0,0,0,0,5456,532,13,0,0,1,8,1,0,0
0,0,0,0,0,0,5433,546,209,0,5,1,211,2,4,3
0,0,0,0,0,0,5489,539,0,0,1,0,1,0,0,0
0,0,0,0,0,0,5468,525,277,0,9,2,251,1,4,0
0,0,0,0,0,0,5419,538,6,0,0,0,4,0,0,0
0,0,0,0,0,0,5472,533,24,0,0,0,11,0,0,1
1,0,1,1,0,0,5502,532,298,0,5,5,329,1,0,0
0,0,0,0,0,0,5438,507,187,0,6,5,191,2,5,0
0,0,0,0,0,0,5454,549,48,0,2,0,39,0,2,1
0,0,0,0,0,0,5465,534,139,0,3,2,159,0,0,1
0,0,0,0,0,0,5465,534,15,0,0,1,8,1,0,0
0,0,0,0,0,0,5453,529,26,0,1,0,22,1,0,0
0,0,0,0,0,0,5473,513,3,0,0,0,3,0,1,0
0,0,0,0,0,0,5463,517,65,0,1,1,55,1,0,2
3,0,3,3,1,0,5407,544,274,0,5,4,356,1,2,3
0,0,0,0,0,0,5474,538,11,0,2,0,8,0,0,0
0,0,0,0,0,0,5452,541,39,0,4,0,23,0,1,0
0,0,0,0,0,0,5439,541,20,0,0,1,8,0,0,0
0,0,0,0,0,0,5451,530,7,0,0,0,5,0,0,0
0,0,0,0,0,0,5460,541,262,0,13,2,227,2,1,2
0,0,0,0,0,0,5425,550,4,0,0,0,0,0,1,1
0,0,0,0,0,0,5441,516,22,0,1,0,33,0,0,0
1,0,1,1,1,0,5514,532,263,0,2,3,276,2,4,0
0,0,0,0,0,0,5490,533,10,0,1,0,9,0,0,1
0,0,0,0,0,0,5452,551,8,0,1,0,4,0,0,0
0,0,0,0,0,0,5451,532,28,0,0,0,23,0,0,0
0,0,0,0,0,0,5447,540,1,0,0,0,0,0,0,0
0,0,0,0,0,0,5404,524,210,0,1,1,248,4,2,3
2,0,2,2,0,0,5446,539,164,0,4,1,148,2,3,0
0,0,0,0,0,0,5434,523,54,0,3,1,64,2,2,0
0,0,0,0,0,0,5502,520,105,0,4,1,151,0,0,0
0,0,0,0,0,0,5508,544,28,0,1,0,14,0,0,0
1,0,1,1,0,0,5449,531,374,0,5,2,435,3,7,1
0,0,0,0,0,0,5425,536,281,0,5,3,415,0,4,3
1,0,1,1,0,0,5452,528,154,0,6,0,186,0,2,2
1,0,1,1,0,0,5491,558,256,0,6,3,290,4,3,2
0,0,0,0,0,0,5439,534,3,0,0,0,0,0,0,0
0,0,0,0,0,0,5493,557,1,0,0,1,3,0,0,0
1,0,1,1,0,0,5485,520,150,0,5,1,128,2,1,2
1,0,1,1,0,0,5439,535,163,0,5,0,146,0,4,0
0,0,0,0,0,0,5499,549,108,0,5,1,96,3,0,3
0,0,0,0,0,0,5504,523,29,0,1,0,25,0,1,0
1,0,1,1,0,1,5413,545,18,0,0,1,13,1,0,1
0,0,0,0,0,0,5392,542,236,0,5,0,386,2,1,4
0,0,0,0,0,0,5471,549,7,0,1,0,9,0,0,1
0,0,0,0,0,0,5471,529,99,0,2,3,117,2,1,1
0,0,0,0,0,0,5410,533,330,0,5,2,380,3,3,5
0,0,0,0,0,0,5562,512,202,0,4,3,232,0,6,1
0,0,0,0,0,0,5469,543,52,0,1,1,35,2,2,0
0,0,0,0,0,0,5464,536,17,0,1,1,22,0,0,0
0,0,0,0,0,0,5422,554,165,0,2,1,185,0,0,2
0,0,0,0,0,0,5490,535,1,0,0,0,0,0,0,0
0,0,0,0,0,0,5441,558,405,0,13,1,466,1,4,2
0,0,0,0,0,0,5492,539,52,0,2,0,54,1,2,0
0,0,0,0,0,0,5451,550,58,0,3,0,55,0,0,1
0,0,0,0,0,0,5465,541,192,0,8,2,180,0,3,3
0,0,0,0,0,0,5428,545,363,0,7,4,399,4,5,0
0,0,0,0,0,0,5422,548,34,0,3,2,33,2,1,2
0,0,0,0,0,0,5517,526,67,0,1,1,65,0,0,1
2,0,2,2,1,0,5459,540,355,0,8,3,389,5,8,6
0,0,0,0,0,0,5450,523,51,0,0,1,81,2,1,0
0,0,0,0,0,0,5423,546,3,0,0,0,0,0,0,0
0,0,0,0,0,0,5443,533,236,0,4,1,254,1,3,1
0,0,0,0,0,0,5466,523,13,0,2,0,5,1,0,0
0,0,0,0,0,0,5451,537,390,0,12,2,441,3,6,2
0,0,0,0,0,0,5514,533,332,0,7,2,425,2,5,0
2,0,2,2,1,0,5412,536,384,0,8,4,487,3,5,1
0,0,0,0,0,0,5400,549,242,0,4,4,238,3,4,0
0,0,0,0,0,0,5474,530,0,0,0,0,0,0,0,0
0,0,0,0,0,0,5411,539,6,0,0,0,3,0,0,0
0,0,0,0,0,0,5526,537,27,0,2,0,28,0,0,0
0,0,0,0,0,0,5519,548,53,0,1,2,28,1,1,0
2,0,2,2,0,0,5443,536,293,0,4,3,325,2,6,1
0,0,0,0,0,0,5525,536,198,0,5,2,224,0,3,4
0,0,0,0,0,0,5405,539,227,0,5,5,268,1,1,0
0,0,0,0,0,0,5472,542,2,0,0,0,0,0,0,0
1,0,1,1,1,0,5501,528,151,0,1,0,120,2,0,0
0,0,0,0,0,0,5481,541,261,0,8,4,263,5,7,1
0,0,0,0,0,0,5476,528,20,0,0,0,10,0,0,1
1,0,1,1,0,1,5441,530,248,0,5,2,261,1,5,0
0,0,0,0,0,0,5457,548,48,0,1,0,68,0,0,0
0,0,0,0,0,0,5386,539,167,0,4,2,158,4,2,2
0,0,0,0,0,0,5423,550,17,0,0,1,14,1,1,0
1,0,1,1,0,0,5452,540,494,0,15,4,456,3,9,2
0,0,0,0,0,0,5441,531,125,0,2,1,130,3,3,1
1,0,1,1,0,0,5447,528,122,0,2,4,139,1,0,1
0,0,0,0,0,0,5418,523,21,0,1,0,7,0,1,0
0,0,0,0,0,0,5452,545,17,0,2,0,13,0,0,0
3,0,3,3,2,0,5461,536,554,0,13,5,528,8,7,0
0,0,0,0,0,0,5482,535,109,0,1,1,113,1,2,0
0,0,0,0,0,0,5469,539,7,0,0,1,7,0,0,0
0,0,0,0,0,0,5420,547,98,0,2,1,89,0,0,1
1,0,1,1,0,0,5450,552,439,0,8,1,488,2,6,3
1,0,1,1,0,0,5469,528,431,0,13,2,438,8,2,3
0,0,0,0,0,0,5489,536,430,0,5,1,419,5,4,2
0,0,0,0,0,0,5439,536,16,0,1,0,4,0,0,0
2,0,2,2,0,1,5457,538,271,0,11,2,324,0,6,5
