vac_sus_dose1,vac_herd_dose_1,inf_dose_1,dead_dose_1,hosp_dose_1,icu_dose_1,vac_sus_dose_2,vac_herd_dose_2,inf_dose_2,dead_dose_2,hosp_dose_2,icu_dose_2,inf_n_vac,dead_n_vac,hosp_n_vac,icu_n_vac
0,0,0,0,0,0,4891,1097,19,0,0,1,15,0,1,0
0,0,0,0,0,0,4921,1060,17,0,2,1,10,0,2,0
0,0,0,0,0,0,4946,1080,193,0,1,1,203,2,3,1
0,0,0,0,0,0,4890,1104,5,0,0,1,1,0,0,0
0,0,0,0,0,0,4835,1121,152,0,6,2,151,1,3,0
0,0,0,0,0,0,4938,1067,4,0,0,0,2,0,0,0
0,0,0,0,0,0,4977,1059,131,0,1,2,130,1,2,0
1,0,1,1,0,0,4883,1062,219,0,8,1,204,1,1,1
0,0,0,0,0,0,4897,1106,53,0,3,0,44,0,2,0
0,0,0,0,0,0,4886,1113,3,0,0,0,1,0,0,0
0,0,0,0,0,0,4893,1105,188,0,2,3,167,2,1,1
0,0,0,0,0,0,4874,1109,28,0,1,0,28,0,1,0
0,0,0,0,0,0,4912,1075,80,0,3,0,127,0,1,0
0,0,0,0,0,0,4874,1106,90,0,1,0,111,1,2,0
0,0,0,0,0,0,4874,1080,164,0,4,2,106,1,3,1
0,0,0,0,0,0,4938,1074,100,0,1,0,100,0,1,0
2,0,2,2,0,0,4891,1099,408,0,5,2,452,1,8,5
0,0,0,0,0,0,4875,1104,12,0,0,0,4,0,0,0
1,0,1,1,0,1,4903,1076,155,0,1,2,202,1,0,0
1,0,1,1,0,0,4885,1116,292,0,5,4,273,2,2,1
0,0,0,0,0,0,4869,1105,74,0,1,0,51,1,5,0
0,0,0,0,0,0,4858,1098,125,0,1,1,105,0,1,0
1,0,1,1,0,0,4938,1110,36,0,1,2,36,2,0,0
0,0,0,0,0,0,4928,1095,21,0,0,1,15,0,1,0
2,0,2,2,0,0,4857,1144,208,0,4,1,191,1,2,1
0,0,0,0,0,0,4875,1108,6,0,1,0,1,0,0,0
0,0,0,0,0,0,4892,1094,121,0,4,0,146,1,2,2
0,0,0,0,0,0,4815,1116,9,0,0,1,5,0,0,0
2,0,2,2,1,0,4910,1075,199,0,2,2,202,2,2,0
0,0,0,0,0,0,4863,1097,23,0,1,0,17,0,1,0
0,0,0,0,0,0,4945,1078,93,0,1,1,87,0,0,0
0,0,0,0,0,0,4943,1107,75,0,2,2,55,2,2,0
0,0,0,0,0,0,4895,1088,141,0,1,2,120,0,1,0
1,0,1,1,0,0,4880,1078,391,0,6,2,365,1,6,1
0,0,0,0,0,0,4895,1084,318,0,7,4,349,2,5,4
0,0,0,0,0,0,4984,1069,86,0,2,0,84,0,1,0
0,0,0,0,0,0,4865,1109,52,0,3,2,27,0,1,0
1,0,1,1,1,0,4957,1093,175,0,1,1,173,1,1,1
0,0,0,0,0,0,4913,1095,164,0,3,1,136,0,3,0
0,0,0,0,0,0,4912,1064,1,0,0,0,3,0,0,0
1,0,1,1,0,0,4979,1069,156,0,3,2,126,1,1,2
0,0,0,0,0,0,4922,1104,230,0,3,2,203,1,4,0
0,0,0,0,0,0,4865,1092,162,0,1,2,171,2,5,1
0,0,0,0,0,0,4855,1080,30,0,2,0,15,0,0,0
0,0,0,0,0,0,4936,1083,76,0,4,1,57,0,1,0
0,0,0,0,0,0,4922,1079,3,0,0,0,9,0,0,0
1,0,1,1,0,0,4854,1090,52,0,1,1,39,1,0,1
1,0,1,1,0,1,4974,1099,93,0,3,1,59,0,2,0
0,0,0,0,0,0,4905,1109,143,0,1,0,141,1,4,2
1,0,1,1,0,0,4897,1102,81,0,1,1,89,0,0,2
2,0,2,2,1,0,4908,1065,296,0,1,3,290,1,4,0
0,0,0,0,0,0,4959,1065,239,0,6,1,274,3,0,0
0,0,0,0,0,0,4908,1091,41,0,3,1,39,0,0,0
0,0,0,0,0,0,4927,1105,21,0,2,0,13,0,0,0
0,0,0,0,0,0,4927,1074,231,0,2,1,271,0,3,1
0,0,0,0,0,0,4917,1089,208,0,2,3,184,0,2,4
0,0,0,0,0,0,4892,1084,20,0,0,0,23,0,0,0
0,0,0,0,0,0,4855,1117,8,0,0,0,7,0,0,0
1,0,1,1,0,0,4954,1086,347,0,11,2,396,3,6,2
2,0,2,2,1,0,4913,1091,279,0,3,3,252,0,1,5
4,0,4,4,0,0,4860,1109,305,0,8,4,270,2,3,3
1,0,1,1,0,0,4885,1083,81,0,4,1,62,0,1,1
1,0,1,1,0,0,4888,1088,277,0,4,0,257,1,4,1
1,0,1,1,0,0,4880,1108,254,0,4,1,242,1,8,1
0,0,0,0,0,0,4900,1089,28,0,1,0,21,1,1,0
0,0,0,0,0,0,4961,1087,95,0,0,2,91,1,0,0
0,0,0,0,0,0,4863,1089,156,0,3,6,130,2,2,2
0,0,0,0,0,0,4833,1119,26,0,1,0,23,1,1,1
0,0,0,0,0,0,4906,1096,214,0,2,0,238,2,4,0
0,0,0,0,0,0,4831,1119,30,0,1,0,12,1,0,0
0,0,0,0,0,0,4954,1110,12,0,0,0,8,0,0,0
1,0,1,1,0,0,4959,1108,111,0,1,1,86,0,1,1
1,0,1,1,0,0,4874,1106,343,0,5,5,366,2,4,1
0,0,0,0,0,0,4979,1082,2,0,0,0,3,0,0,0
1,0,1,1,0,0,4845,1098,188,0,4,4,163,1,2,3
