vac_sus_dose1,vac_herd_dose_1,inf_dose_1,dead_dose_1,hosp_dose_1,icu_dose_1,vac_sus_dose_2,vac_herd_dose_2,inf_dose_2,dead_dose_2,hosp_dose_2,icu_dose_2,inf_n_vac,dead_n_vac,hosp_n_vac,icu_n_vac
1,0,1,1,0,0,4374,1643,199,0,1,3,203,0,1,2
2,0,2,2,0,0,4298,1707,191,0,4,1,202,1,2,2
0,0,0,0,0,0,4332,1635,136,0,1,0,178,0,2,1
0,0,0,0,0,0,4300,1704,162,0,5,3,192,1,6,0
0,0,0,0,0,0,4330,1672,74,0,4,1,50,3,0,1
2,0,2,2,0,0,4358,1668,39,0,2,0,33,2,1,0
1,0,1,1,0,1,4318,1655,135,0,2,0,180,2,4,3
0,0,0,0,0,0,4351,1646,25,0,2,0,15,0,0,0
0,0,0,0,0,0,4304,1660,89,0,1,0,105,0,1,1
1,0,1,1,1,0,4357,1659,81,0,4,0,64,1,1,0
0,0,0,0,0,0,4367,1664,7,0,0,0,3,0,0,0
0,0,0,0,0,0,4359,1676,249,0,9,0,243,2,1,2
0,0,0,0,0,0,4339,1669,23,0,0,1,34,0,0,0
0,0,0,0,0,0,4349,1683,91,0,4,2,63,3,0,0
1,0,1,1,0,0,4379,1680,131,0,4,2,92,1,1,1
0,0,0,0,0,0,4297,1669,175,0,2,3,160,3,3,1
1,0,1,1,0,0,4327,1640,124,0,9,3,142,3,3,2
0,0,0,0,0,0,4328,1701,75,0,0,1,113,0,2,0
0,0,0,0,0,0,4348,1673,19,0,2,0,8,0,1,0
0,0,0,0,0,0,4276,1679,51,0,2,1,55,1,1,0
0,0,0,0,0,0,4266,1665,93,0,2,1,91,1,0,1
0,0,0,0,0,0,4365,1668,80,0,4,0,64,2,1,0
2,0,2,2,1,0,4264,1677,200,0,8,1,151,1,2,2
0,0,0,0,0,0,4385,1689,78,0,1,1,66,1,0,3
4,0,4,4,0,0,4337,1649,239,0,3,3,271,1,5,5
1,0,1,1,1,0,4295,1712,334,1,9,2,298,1,3,2
0,0,0,0,0,0,4395,1647,117,0,5,2,111,2,3,0
0,0,0,0,0,0,4344,1644,107,0,3,2,97,0,1,0
0,0,0,0,0,0,4257,1683,204,0,4,0,208,1,0,0
0,0,0,0,0,0,4358,1648,310,0,5,4,268,1,6,0
0,0,0,0,0,0,4361,1664,33,0,3,1,31,0,0,0
3,0,3,3,1,0,4315,1657,242,0,2,4,238,3,5,0
0,0,0,0,0,0,4316,1662,333,0,6,3,331,3,4,2
0,0,0,0,0,0,4342,1664,43,0,2,1,33,1,0,0
0,0,0,0,0,0,4369,1653,62,0,3,2,42,1,3,0
0,0,0,0,0,0,4384,1655,60,0,2,1,78,0,2,0
1,0,1,1,0,0,4386,1678,71,0,1,2,42,0,0,0
0,0,0,0,0,0,4395,1658,54,0,1,2,33,0,0,0
0,0,0,0,0,0,4287,1686,311,0,7,4,248,3,2,2
2,0,2,2,0,0,4382,1641,170,0,5,5,125,0,0,0
0,0,0,0,0,0,4378,1668,34,0,1,0,32,0,0,0
0,0,0,0,0,0,4382,1659,14,0,0,0,7,0,0,0
0,0,0,0,0,0,4286,1643,86,0,1,1,77,0,2,1
0,0,0,0,0,0,4357,1642,151,0,5,4,122,1,3,1
0,0,0,0,0,0,4286,1684,147,0,3,1,195,1,3,1
0,0,0,0,0,0,4343,1663,33,0,3,0,13,1,1,0
0,0,0,0,0,0,4340,1683,32,0,2,0,25,0,0,0
0,0,0,0,0,0,4383,1665,54,0,2,2,39,2,0,0
2,0,2,2,0,1,4299,1700,275,0,4,2,192,2,6,3
0,0,0,0,0,0,4318,1674,19,0,2,0,14,0,0,0
0,0,0,0,0,0,4399,1642,128,0,3,5,161,0,0,2
1,0,1,1,0,0,4345,1677,268,0,7,1,311,3,5,2
0,0,0,0,0,0,4300,1668,86,0,3,0,103,1,0,1
0,0,0,0,0,0,4339,1689,80,0,6,1,66,1,2,0
0,0,0,0,0,0,4374,1643,43,0,1,1,26,0,0,1
0,0,0,0,0,0,4337,1645,169,0,3,2,173,0,3,1
0,0,0,0,0,0,4365,1687,157,0,5,2,148,0,1,2
0,0,0,0,0,0,4370,1670,231,0,5,3,295,1,6,2
1,0,1,1,0,0,4309,1683,261,0,3,1,257,0,2,0
